starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 28 18:08:13 2022	1656432493	392	197	589	197
Tue Jun 28 18:10:36 2022	1656432636	305	285	589	285
Tue Jun 28 18:09:22 2022	1656432562	394	196	590	195
Tue Jun 28 18:11:35 2022	1656432695	188	403	591	402
Tue Jun 28 18:09:03 2022	1656432543	391	201	591	201
Tue Jun 28 18:11:19 2022	1656432679	304	288	592	286
Tue Jun 28 18:11:04 2022	1656432664	308	285	592	285
Tue Jun 28 18:11:03 2022	1656432663	282	310	593	310
Tue Jun 28 18:11:22 2022	1656432682	203	390	593	390
Tue Jun 28 18:08:16 2022	1656432496	187	406	593	404
Tue Jun 28 18:09:26 2022	1656432566	291	302	593	302
Tue Jun 28 18:09:51 2022	1656432591	401	193	593	191
Tue Jun 28 18:08:31 2022	1656432511	201	393	594	392
Tue Jun 28 18:09:26 2022	1656432566	294	300	594	299
Tue Jun 28 18:08:48 2022	1656432528	198	396	594	396
Tue Jun 28 18:09:26 2022	1656432566	209	385	594	383
Tue Jun 28 18:09:26 2022	1656432566	290	304	594	303
Tue Jun 28 18:09:59 2022	1656432599	207	388	595	388
Tue Jun 28 18:09:56 2022	1656432596	488	107	595	107
Tue Jun 28 18:11:19 2022	1656432679	308	287	595	286
Tue Jun 28 18:11:02 2022	1656432662	196	400	595	113
Tue Jun 28 18:09:56 2022	1656432596	404	191	595	191
Tue Jun 28 18:09:26 2022	1656432566	291	304	595	303
Tue Jun 28 18:08:13 2022	1656432493	198	398	596	398
Tue Jun 28 18:10:58 2022	1656432658	405	191	596	191
Tue Jun 28 18:08:13 2022	1656432493	198	399	597	399
Tue Jun 28 18:11:22 2022	1656432682	490	107	597	107
Tue Jun 28 18:10:47 2022	1656432647	192	405	597	396
Tue Jun 28 18:10:49 2022	1656432649	400	197	597	197
Tue Jun 28 18:08:13 2022	1656432493	292	305	597	304
Tue Jun 28 18:08:13 2022	1656432493	392	205	597	204
Tue Jun 28 18:11:39 2022	1656432699	197	400	597	400
Tue Jun 28 18:10:58 2022	1656432658	302	296	597	296
Tue Jun 28 18:11:05 2022	1656432665	200	398	598	397
Tue Jun 28 18:11:22 2022	1656432682	490	108	598	108
Tue Jun 28 18:08:17 2022	1656432497	497	101	598	101
Tue Jun 28 18:10:46 2022	1656432646	302	296	598	295
Tue Jun 28 18:07:44 2022	1656432464	188	410	598	409
Tue Jun 28 18:10:46 2022	1656432646	301	297	598	296
Tue Jun 28 18:09:47 2022	1656432587	499	100	598	98
Tue Jun 28 18:08:31 2022	1656432511	195	404	599	402
Tue Jun 28 18:08:48 2022	1656432528	200	399	599	399
Tue Jun 28 18:11:38 2022	1656432698	394	204	599	204
Tue Jun 28 18:10:46 2022	1656432646	297	302	599	300
Tue Jun 28 18:11:22 2022	1656432682	204	395	599	395
Tue Jun 28 18:10:18 2022	1656432618	410	189	599	189
Tue Jun 28 18:08:31 2022	1656432511	394	205	599	204
Tue Jun 28 18:10:54 2022	1656432654	394	205	600	205
Tue Jun 28 18:10:05 2022	1656432605	491	109	600	109
Tue Jun 28 18:08:48 2022	1656432528	192	409	600	408
Tue Jun 28 18:08:48 2022	1656432528	295	305	600	305
Tue Jun 28 18:10:05 2022	1656432605	407	194	601	193
Tue Jun 28 18:11:09 2022	1656432669	288	313	601	312
Tue Jun 28 18:11:27 2022	1656432687	396	205	601	204
Tue Jun 28 18:10:56 2022	1656432656	493	108	601	106
Tue Jun 28 18:09:14 2022	1656432554	304	297	602	297
Tue Jun 28 18:11:22 2022	1656432682	204	398	602	398
Tue Jun 28 18:11:10 2022	1656432670	490	112	602	108
Tue Jun 28 18:08:13 2022	1656432493	291	312	602	309
Tue Jun 28 18:08:37 2022	1656432517	308	294	602	294
Tue Jun 28 18:09:14 2022	1656432554	297	305	602	304
Tue Jun 28 18:08:31 2022	1656432511	397	207	603	206
Tue Jun 28 18:11:22 2022	1656432682	496	108	604	108
Tue Jun 28 18:08:35 2022	1656432515	489	115	604	113
Tue Jun 28 18:08:13 2022	1656432493	292	312	604	309
Tue Jun 28 18:07:57 2022	1656432477	399	205	604	204
Tue Jun 28 18:08:13 2022	1656432493	298	306	604	304
Tue Jun 28 18:10:18 2022	1656432618	493	111	604	109
Tue Jun 28 18:11:16 2022	1656432676	414	190	604	190
Tue Jun 28 18:09:45 2022	1656432585	315	290	604	289
Tue Jun 28 18:09:45 2022	1656432585	315	289	604	289
Tue Jun 28 18:08:30 2022	1656432510	299	306	605	306
Tue Jun 28 18:09:15 2022	1656432555	311	294	605	294
Tue Jun 28 18:08:42 2022	1656432522	499	106	605	106
Tue Jun 28 18:09:18 2022	1656432558	296	309	605	308
Tue Jun 28 18:10:17 2022	1656432617	198	407	605	406
Tue Jun 28 18:09:14 2022	1656432554	202	403	605	401
Tue Jun 28 18:08:13 2022	1656432493	392	213	605	210
Tue Jun 28 18:10:46 2022	1656432646	307	298	605	298
Tue Jun 28 18:10:46 2022	1656432646	310	295	606	294
Tue Jun 28 18:07:57 2022	1656432477	487	119	606	118
Tue Jun 28 18:11:22 2022	1656432682	299	307	606	307
Tue Jun 28 18:08:30 2022	1656432510	300	306	606	306
Tue Jun 28 18:08:30 2022	1656432510	285	321	606	317
Tue Jun 28 18:10:15 2022	1656432615	502	104	606	103
Tue Jun 28 18:08:42 2022	1656432522	499	108	606	106
Tue Jun 28 18:10:41 2022	1656432641	503	104	607	104
Tue Jun 28 18:10:19 2022	1656432619	203	403	607	403
Tue Jun 28 18:10:01 2022	1656432601	397	210	607	209
Tue Jun 28 18:11:22 2022	1656432682	302	305	607	305
Tue Jun 28 18:10:46 2022	1656432646	307	300	607	298
Tue Jun 28 18:08:36 2022	1656432516	416	192	607	191
Tue Jun 28 18:11:33 2022	1656432693	214	393	607	393
Tue Jun 28 18:09:39 2022	1656432579	201	406	607	406
Tue Jun 28 18:10:46 2022	1656432646	309	299	607	297
Tue Jun 28 18:08:31 2022	1656432511	400	208	607	206
Tue Jun 28 18:10:08 2022	1656432608	406	201	607	201
Tue Jun 28 18:08:13 2022	1656432493	208	399	608	399
Tue Jun 28 18:10:58 2022	1656432658	500	108	608	105
Tue Jun 28 18:07:57 2022	1656432477	398	210	608	209
Tue Jun 28 18:08:13 2022	1656432493	209	399	608	399
Tue Jun 28 18:07:57 2022	1656432477	397	211	608	210
Tue Jun 28 18:11:22 2022	1656432682	209	399	608	399
Tue Jun 28 18:09:14 2022	1656432554	315	293	608	292
Tue Jun 28 18:07:57 2022	1656432477	399	209	608	207
Tue Jun 28 18:10:46 2022	1656432646	309	299	608	298
Tue Jun 28 18:10:56 2022	1656432656	500	108	608	107
Tue Jun 28 18:10:56 2022	1656432656	501	108	609	106
Tue Jun 28 18:09:58 2022	1656432598	302	306	609	305
Tue Jun 28 18:09:31 2022	1656432571	321	288	609	286
Tue Jun 28 18:11:05 2022	1656432665	212	397	609	397
Tue Jun 28 18:08:35 2022	1656432515	501	108	609	108
Tue Jun 28 18:09:18 2022	1656432558	510	99	610	99
Tue Jun 28 18:08:18 2022	1656432498	209	401	610	401
Tue Jun 28 18:08:13 2022	1656432493	211	398	610	398
Tue Jun 28 18:10:02 2022	1656432602	314	296	610	296
Tue Jun 28 18:09:19 2022	1656432559	497	113	610	113
Tue Jun 28 18:09:18 2022	1656432558	503	107	610	106
Tue Jun 28 18:08:33 2022	1656432513	501	109	610	109
Tue Jun 28 18:10:56 2022	1656432656	502	108	610	107
Tue Jun 28 18:08:32 2022	1656432512	305	306	610	208
Tue Jun 28 18:11:30 2022	1656432690	302	309	610	306
Tue Jun 28 18:11:05 2022	1656432665	212	398	610	397
Tue Jun 28 18:08:52 2022	1656432532	512	99	610	98
Tue Jun 28 18:09:31 2022	1656432571	307	303	610	303
Tue Jun 28 18:08:48 2022	1656432528	308	303	611	303
Tue Jun 28 18:10:56 2022	1656432656	503	108	611	106
Tue Jun 28 18:10:56 2022	1656432656	503	108	611	107
Tue Jun 28 18:08:31 2022	1656432511	209	402	611	398
Tue Jun 28 18:11:30 2022	1656432690	297	314	611	310
Tue Jun 28 18:08:39 2022	1656432519	507	105	611	103
Tue Jun 28 18:08:42 2022	1656432522	408	204	611	203
Tue Jun 28 18:10:58 2022	1656432658	401	211	611	208
Tue Jun 28 18:08:48 2022	1656432528	307	304	612	304
Tue Jun 28 18:10:58 2022	1656432658	401	211	612	208
Tue Jun 28 18:10:54 2022	1656432654	502	110	612	110
Tue Jun 28 18:08:23 2022	1656432503	404	208	612	204
Tue Jun 28 18:07:57 2022	1656432477	402	210	612	208
Tue Jun 28 18:08:23 2022	1656432503	502	110	612	105
Tue Jun 28 18:10:47 2022	1656432647	490	122	612	111
Tue Jun 28 18:11:22 2022	1656432682	512	101	612	100
Tue Jun 28 18:08:23 2022	1656432503	403	209	613	205
Tue Jun 28 18:10:01 2022	1656432601	407	206	613	206
Tue Jun 28 18:09:14 2022	1656432554	511	101	613	99
Tue Jun 28 18:10:01 2022	1656432601	407	206	613	204
Tue Jun 28 18:09:54 2022	1656432594	491	123	613	123
Tue Jun 28 18:11:09 2022	1656432669	509	104	613	103
Tue Jun 28 18:10:41 2022	1656432641	505	109	614	108
Tue Jun 28 18:10:08 2022	1656432608	209	405	614	404
Tue Jun 28 18:09:33 2022	1656432573	408	206	614	206
Tue Jun 28 18:10:08 2022	1656432608	209	404	614	404
Tue Jun 28 18:09:50 2022	1656432590	298	315	614	311
Tue Jun 28 18:07:57 2022	1656432477	494	120	614	120
Tue Jun 28 18:11:02 2022	1656432662	307	307	614	304
Tue Jun 28 18:08:23 2022	1656432503	405	210	614	206
Tue Jun 28 18:10:01 2022	1656432601	300	315	615	314
Tue Jun 28 18:08:39 2022	1656432519	508	107	615	106
Tue Jun 28 18:08:23 2022	1656432503	404	211	615	208
Tue Jun 28 18:10:08 2022	1656432608	210	405	615	404
Tue Jun 28 18:07:57 2022	1656432477	496	119	615	118
Tue Jun 28 18:08:35 2022	1656432515	501	114	615	113
Tue Jun 28 18:10:56 2022	1656432656	507	108	615	106
Tue Jun 28 18:11:04 2022	1656432664	202	413	615	404
Tue Jun 28 18:08:44 2022	1656432524	502	113	615	111
Tue Jun 28 18:08:52 2022	1656432532	409	206	615	204
Tue Jun 28 18:08:52 2022	1656432532	410	206	615	205
Tue Jun 28 18:09:18 2022	1656432558	593	23	615	23
Tue Jun 28 18:10:01 2022	1656432601	408	207	615	206
Tue Jun 28 18:08:48 2022	1656432528	207	408	615	408
Tue Jun 28 18:08:23 2022	1656432503	509	107	615	105
Tue Jun 28 18:08:30 2022	1656432510	298	317	615	314
Tue Jun 28 18:10:01 2022	1656432601	405	211	616	210
Tue Jun 28 18:09:14 2022	1656432554	513	103	616	102
Tue Jun 28 18:08:23 2022	1656432503	508	108	616	103
Tue Jun 28 18:09:31 2022	1656432571	303	313	616	310
Tue Jun 28 18:08:23 2022	1656432503	508	108	616	103
Tue Jun 28 18:08:35 2022	1656432515	500	116	616	114
Tue Jun 28 18:09:18 2022	1656432558	594	23	617	23
Tue Jun 28 18:08:23 2022	1656432503	406	211	617	207
Tue Jun 28 18:11:09 2022	1656432669	306	312	618	311
Tue Jun 28 18:09:18 2022	1656432558	597	21	618	21
Tue Jun 28 18:09:18 2022	1656432558	596	23	618	22
Tue Jun 28 18:11:30 2022	1656432690	305	314	619	312
Tue Jun 28 18:10:09 2022	1656432609	512	107	619	107
Tue Jun 28 18:11:09 2022	1656432669	309	310	619	309
Tue Jun 28 18:10:09 2022	1656432609	511	109	620	107
Tue Jun 28 18:10:56 2022	1656432656	513	108	620	107
Tue Jun 28 18:11:09 2022	1656432669	307	313	620	312
Tue Jun 28 18:09:14 2022	1656432554	400	221	621	218
Tue Jun 28 18:08:57 2022	1656432537	510	110	621	110
Tue Jun 28 18:11:09 2022	1656432669	308	313	621	312
Tue Jun 28 18:09:18 2022	1656432558	598	23	621	23
Tue Jun 28 18:10:56 2022	1656432656	514	107	621	106
Tue Jun 28 18:10:56 2022	1656432656	513	108	621	106
Tue Jun 28 18:08:23 2022	1656432503	594	28	622	27
Tue Jun 28 18:10:56 2022	1656432656	513	108	622	107
Tue Jun 28 18:09:18 2022	1656432558	599	23	622	23
Tue Jun 28 18:09:18 2022	1656432558	599	23	622	22
Tue Jun 28 18:10:01 2022	1656432601	407	216	623	216
Tue Jun 28 18:10:01 2022	1656432601	408	216	624	215
Tue Jun 28 18:08:44 2022	1656432524	511	114	625	111
Tue Jun 28 18:10:54 2022	1656432654	304	322	625	308
Tue Jun 28 18:10:54 2022	1656432654	305	321	627	309
Tue Jun 28 18:08:32 2022	1656432512	407	220	627	219
Tue Jun 28 18:08:23 2022	1656432503	598	35	632	27
Tue Jun 28 18:08:23 2022	1656432503	599	35	634	33
Tue Jun 28 18:08:23 2022	1656432503	599	35	635	33
Tue Jun 28 18:08:23 2022	1656432503	600	35	635	33
Tue Jun 28 18:08:23 2022	1656432503	601	35	636	33
Tue Jun 28 18:08:23 2022	1656432503	601	35	636	33
Tue Jun 28 18:09:01 2022	1656432541	283	355	638	304
Tue Jun 28 18:09:01 2022	1656432541	292	352	644	302
Tue Jun 28 18:09:01 2022	1656432541	290	355	645	304
Tue Jun 28 18:11:02 2022	1656432662	393	290	683	288
Tue Jun 28 18:10:29 2022	1656432629	294	389	683	389
Tue Jun 28 18:09:45 2022	1656432585	398	286	684	286
Tue Jun 28 18:11:05 2022	1656432665	191	494	685	494
